,Data,Open,High,Low,Close,Vol,MA_5,MA_21,SAR,BB_up,BB_mid,BB_low,OBV,macd,macdsignal,macdhist,fastk,fastd,RSI,MOM,TRIX,CCI,ADX,MA_9,MA_100,acao,resultado_valor,resultado_binario
904,2018-01-22 13:00:00,81345.0,81490.0,81320.0,81490.0,46286,81355.0,81531.19047619047,72605.0,81787.83539867,81527.25,81266.66460133,3670421.0,-32.24669012785307,-7.9203411778203,-24.32634895003277,100.0,55.75335397316803,50.829428267067165,-180.0,0.004401699325384811,-29.64451313756313,18.471165689971222,81423.36733395627,81441.85,sell,-145.0,0
931,2018-01-23 10:30:00,81670.0,81825.0,81665.0,81795.0,56047,81700.0,81720.0,72605.0,81887.68394528875,81724.5,81561.31605471125,3879880.0,38.775907592091244,51.364757013668225,-12.588849421576981,86.36363636363636,43.95304395304375,57.70313532323815,15.0,0.006243452643905911,8.067711147149282,13.38911718334452,81731.48069078731,81498.55,sell,735.0,1
945,2018-01-23 14:00:00,81325.0,81400.0,81175.0,81255.0,54995,81275.0,81405.0,72605.0,81907.26029683331,81385.25,80863.23970316669,3462648.0,-107.0811799072253,-110.32510582895995,3.2439259217346432,49.122807017543856,74.52973252926287,43.18370304722452,65.0,-0.0014069157558638246,7.000000000001719,21.320253383227424,81262.77834716639,81499.4,call,-105.0,0
961,2018-01-23 18:00:00,80980.0,81000.0,80835.0,80850.0,25220,80889.0,81092.14285714286,72605.0,81429.15594122789,81086.0,80742.84405877211,3198106.0,-133.6884266826528,-128.6874810372408,-5.000945645412003,25.806451612903224,39.23278116826484,37.446027686816535,-180.0,-0.010324441340892054,-71.9444444444399,27.87692566227088,80942.86111388721,81431.75,call,1045.0,1
977,2018-01-24 12:45:00,82275.0,82520.0,82250.0,82445.0,77525,82549.0,81916.42857142857,72605.0,83351.38041390866,81967.5,80583.61958609134,3458045.0,352.1817874657572,326.54689053611736,25.634896929639865,31.578947368421055,20.812986073430846,62.97412167132943,555.0,0.008181569593657123,12.562664026528353,41.24399262247535,82432.22509384644,81563.35,sell,100.0,1
983,2018-01-24 14:15:00,82340.0,82650.0,82290.0,82560.0,75632,82587.0,82386.42857142857,72605.0,83137.6426223343,82428.75,81719.8573776657,3488741.0,279.5888213466533,317.98628994767245,-38.39746860101917,48.64864864864865,41.07219634411627,59.428067288170915,-150.0,0.018017198442765725,-72.10398050365856,35.78861605341594,82536.40281500129,81633.3,sell,-75.0,0
1013,2018-01-26 12:30:00,84275.0,84520.0,84230.0,84435.0,86409,84418.0,84299.28571428571,72605.0,85218.91632068937,84335.75,83452.58367931063,4050240.0,371.86094530260016,461.9119770338362,-90.05103173123604,51.16279069767442,36.70600485942362,60.136058547165185,150.0,0.05772164960713422,-49.708908746274766,38.60348029641026,84419.32116548905,82309.95,sell,-665.0,0
1023,2018-01-26 15:00:00,85185.0,85425.0,85160.0,85310.0,69604,85422.0,84876.66666666667,72605.0,85875.62544326231,84906.25,83936.87455673769,4487833.0,447.466785889279,474.7899325516185,-27.323146662339525,29.365079365079367,20.488239300120327,63.559038733561515,875.0,0.06612201380722382,36.96263354291262,40.40123718867164,85265.6349000114,82671.1,sell,-135.0,0
1043,2018-01-29 10:45:00,85135.0,85620.0,85075.0,85550.0,99879,85182.0,85408.80952380953,72605.0,85885.70206324372,85413.75,84941.79793675628,4598476.0,75.26952899892058,146.37298790911137,-71.1034589101908,89.85507246376811,50.258204231217555,58.46751707876565,45.0,0.05794028237053883,12.379935965855248,22.1223366055236,85282.41007199149,83465.7,sell,290.0,1
1052,2018-01-29 13:00:00,85215.0,85380.0,85120.0,85330.0,54972,85230.0,85304.04761904762,72605.0,85719.55762645483,85292.75,84865.94237354517,4484133.0,22.19645551723079,48.44662091198041,-26.250165394749622,84.12698412698413,47.074291512647505,53.025860344871454,195.0,0.044453738065075576,47.47826086956764,15.371222039222602,85251.99002414702,83829.85,sell,730.0,1
